timestamp,accuracy,content,label
20221011214507029,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011214506973,100,{'Tilting': 100},Tilting
20221011214419829,90,"{'InVehicle': 1, 'OnBycicle': 2, 'OnFoot': 90, 'Running': 5, 'Still': 1, 'Unknown': 1, 'Walking': 90}",OnFoot
20221011214419770,100,{'Tilting': 100},Tilting
20221011214336412,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011214336322,100,{'Tilting': 100},Tilting
20221011214250347,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011214204376,86,"{'InVehicle': 3, 'OnBycicle': 3, 'OnFoot': 86, 'Running': 2, 'Still': 2, 'Unknown': 2, 'Walking': 86}",OnFoot
20221011214204305,100,{'Tilting': 100},Tilting
20221011214118295,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011214018554,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213932540,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213932476,100,{'Tilting': 100},Tilting
20221011213846487,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213804111,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213804044,100,{'Tilting': 100},Tilting
20221011213718053,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213627251,99,"{'Still': 99, 'Unknown': 1}",Still
20221011213549847,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213507241,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011213507145,100,{'Tilting': 100},Tilting
20221011211534209,98,"{'Still': 98, 'Unknown': 2}",Still
20221011205003870,100,{'Still': 100},Still
20221011204930585,44,"{'InVehicle': 23, 'OnBycicle': 2, 'OnFoot': 11, 'Still': 44, 'Unknown': 1, 'Walking': 11}",Still
20221011204045472,100,{'Still': 100},Still
20221011204008034,100,{'Still': 100},Still
20221011203921552,100,{'Still': 100},Still
20221011203844118,100,{'Still': 100},Still
20221011203806673,100,{'Still': 100},Still
20221011203716173,100,{'Still': 100},Still
20221011203638646,100,{'Still': 100},Still
20221011203605690,100,{'Still': 100},Still
20221011203519471,100,{'Still': 100},Still
20221011203442053,100,{'Still': 100},Still
20221011203404619,100,{'Still': 100},Still
20221011203318552,100,{'Still': 100},Still
20221011203241105,100,{'Still': 100},Still
20221011203241044,100,{'Tilting': 100},Tilting
20221011203203114,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011203203029,100,{'Tilting': 100},Tilting
20221011185723874,100,{'Still': 100},Still
20221011185436640,100,{'Still': 100},Still
20221011185359183,100,{'Still': 100},Still
20221011185321752,100,{'Still': 100},Still
20221011185238502,100,{'Still': 100},Still
20221011185200665,100,{'Still': 100},Still
20221011185123263,100,{'Still': 100},Still
20221011185040740,100,{'Still': 100},Still
20221011185000071,100,{'Still': 100},Still
20221011184922238,100,{'Still': 100},Still
20221011184840132,100,{'Still': 100},Still
20221011184758577,100,{'Still': 100},Still
20221011184721126,100,{'Still': 100},Still
20221011184641778,100,{'Still': 100},Still
20221011184604349,100,{'Still': 100},Still
20221011184526939,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011184526877,100,{'Tilting': 100},Tilting
20221011184450960,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011184450898,100,{'Tilting': 100},Tilting
20221011184406184,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011184406122,100,{'Tilting': 100},Tilting
20221011184320152,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011184244999,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011184159957,96,"{'InVehicle': 96, 'Still': 1, 'Unknown': 1}",InVehicle
20221011184117455,44,"{'InVehicle': 24, 'OnBycicle': 4, 'OnFoot': 11, 'Still': 44, 'Unknown': 2, 'Walking': 11}",Still
20221011184043304,89,"{'InVehicle': 89, 'Unknown': 1}",InVehicle
20221011184000736,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183918519,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183824359,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183745753,41,"{'InVehicle': 32, 'OnBycicle': 2, 'OnFoot': 8, 'Still': 41, 'Unknown': 2, 'Walking': 8}",Still
20221011183701477,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183615600,99,"{'Still': 99, 'Unknown': 1}",Still
20221011183538213,100,{'Still': 100},Still
20221011183510088,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183426382,96,"{'InVehicle': 1, 'OnFoot': 1, 'Still': 96, 'Unknown': 2, 'Walking': 1}",Still
20221011183405364,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183325635,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011183241461,95,"{'OnFoot': 95, 'Running': 2, 'Unknown': 3, 'Walking': 95}",OnFoot
20221011183157558,54,"{'InVehicle': 28, 'OnBycicle': 2, 'OnFoot': 5, 'Still': 54, 'Unknown': 2, 'Walking': 5}",Still
20221011183157473,100,{'Tilting': 100},Tilting
20221011183101013,100,{'Still': 100},Still
20221011183027916,100,{'Still': 100},Still
20221011183027853,100,{'Tilting': 100},Tilting
20221011182953825,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011182953757,100,{'Tilting': 100},Tilting
20221011182905965,100,{'Still': 100},Still
20221011182828527,100,{'Still': 100},Still
20221011182750623,100,{'Still': 100},Still
20221011182714657,100,{'Still': 100},Still
20221011182637262,100,{'Still': 100},Still
20221011182551159,98,"{'InVehicle': 1, 'Still': 98, 'Unknown': 1}",Still
20221011182513689,100,{'Still': 100},Still
20221011182436231,100,{'Still': 100},Still
20221011182353546,100,{'Still': 100},Still
20221011182315632,100,{'Still': 100},Still
20221011182238245,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011182238151,100,{'Tilting': 100},Tilting
20221011175239957,100,{'Still': 100},Still
20221011175239873,100,{'Tilting': 100},Tilting
20221011175133807,100,{'Still': 100},Still
20221011174801263,100,{'Still': 100},Still
20221011174259467,100,{'Still': 100},Still
20221011174259299,100,{'Tilting': 100},Tilting
20221011165056162,100,{'Still': 100},Still
20221011165056065,100,{'Tilting': 100},Tilting
20221011164404951,98,"{'InVehicle': 1, 'Still': 98, 'Unknown': 1}",Still
20221011164321596,100,{'Still': 100},Still
20221011164240492,99,"{'InVehicle': 1, 'Still': 99}",Still
20221011164203741,100,{'Still': 100},Still
20221011164119677,98,"{'InVehicle': 1, 'Still': 98}",Still
20221011164042080,99,"{'Still': 99, 'Unknown': 1}",Still
20221011164009339,99,"{'InVehicle': 1, 'Still': 99}",Still
20221011163937339,100,{'Still': 100},Still
20221011163859948,100,{'Still': 100},Still
20221011163826618,100,{'Still': 100},Still
20221011163750505,100,{'Still': 100},Still
20221011163727965,100,{'Still': 100},Still
20221011163727879,100,{'Tilting': 100},Tilting
20221011163654784,35,"{'InVehicle': 14, 'OnBycicle': 14, 'OnFoot': 23, 'Running': 1, 'Still': 35, 'Unknown': 3, 'Walking': 23}",Still
20221011163608911,100,{'Still': 100},Still
20221011163542331,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011163456481,33,"{'InVehicle': 14, 'OnBycicle': 11, 'OnFoot': 30, 'Running': 1, 'Still': 33, 'Unknown': 2, 'Walking': 30}",Still
20221011163410552,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
