timestamp,label,accuracy,content
20221011160926326,OnFoot,98,"{'OnFoot': 98, 'Unknown': 2, 'Walking': 98}"
20221011160959943,OnFoot,98,"{'OnFoot': 98, 'Unknown': 2, 'Walking': 98}"
20221011183241461,OnFoot,95,"{'OnFoot': 95, 'Running': 2, 'Unknown': 3, 'Walking': 95}"
20221011214204376,OnFoot,86,"{'InVehicle': 3, 'OnBycicle': 3, 'OnFoot': 86, 'Running': 2, 'Still': 2, 'Unknown': 2, 'Walking': 86}"
20221011214419829,OnFoot,90,"{'InVehicle': 1, 'OnBycicle': 2, 'OnFoot': 90, 'Running': 5, 'Still': 1, 'Unknown': 1, 'Walking': 90}"
20221011220125538,OnFoot,90,"{'InVehicle': 2, 'OnBycicle': 2, 'OnFoot': 90, 'Running': 2, 'Still': 1, 'Unknown': 2, 'Walking': 90}"
20221011220207057,OnFoot,90,"{'InVehicle': 1, 'OnBycicle': 2, 'OnFoot': 90, 'Running': 2, 'Still': 3, 'Unknown': 2, 'Walking': 90}"
20221011220301521,OnFoot,93,"{'OnBycicle': 1, 'OnFoot': 93, 'Running': 2, 'Still': 1, 'Unknown': 3, 'Walking': 93}"
20221011220344727,OnFoot,87,"{'InVehicle': 3, 'OnBycicle': 4, 'OnFoot': 87, 'Running': 2, 'Still': 1, 'Unknown': 3, 'Walking': 87}"
20221011060232983,Still,100,{'Still': 100}
20221011064526519,Still,100,{'Still': 100}
20221011083443907,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011083521058,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011083556858,Still,98,"{'Still': 98, 'Unknown': 2}"
20221011083634501,Still,100,{'Still': 100}
20221011083717754,Still,100,{'Still': 100}
20221011083755520,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011083835182,Still,100,{'Still': 100}
20221011083919490,Still,100,{'Still': 100}
20221011083953060,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011084035564,Still,100,{'Still': 100}
20221011084124389,Still,96,"{'InVehicle': 2, 'Still': 96, 'Unknown': 1}"
20221011084202042,Still,100,{'Still': 100}
20221011084239459,Still,100,{'Still': 100}
20221011084316878,Still,100,{'Still': 100}
